image,label,wnid,ilsvrc_id
ILSVRC2012_val_00000004.JPEG,ILSVRC2012_val_00000004.xml,n04263257,822
ILSVRC2012_val_00000005.JPEG,ILSVRC2012_val_00000005.xml,n03125729,297
ILSVRC2012_val_00000009.JPEG,ILSVRC2012_val_00000009.xml,n03794056,599
ILSVRC2012_val_00000015.JPEG,ILSVRC2012_val_00000015.xml,n03496892,554
ILSVRC2012_val_00000020.JPEG,ILSVRC2012_val_00000020.xml,n03126707,545
ILSVRC2012_val_00000026.JPEG,ILSVRC2012_val_00000026.xml,n04380533,304
ILSVRC2012_val_00000030.JPEG,ILSVRC2012_val_00000030.xml,n04435653,780
ILSVRC2012_val_00000036.JPEG,ILSVRC2012_val_00000036.xml,n04532106,790
ILSVRC2012_val_00000038.JPEG,ILSVRC2012_val_00000038.xml,n02666196,547
ILSVRC2012_val_00000039.JPEG,ILSVRC2012_val_00000039.xml,n04141327,809
ILSVRC2012_val_00000041.JPEG,ILSVRC2012_val_00000041.xml,n03125729,297
ILSVRC2012_val_00000042.JPEG,ILSVRC2012_val_00000042.xml,n04049303,927
ILSVRC2012_val_00000046.JPEG,ILSVRC2012_val_00000046.xml,n03950228,983
ILSVRC2012_val_00000053.JPEG,ILSVRC2012_val_00000053.xml,n04372370,561
ILSVRC2012_val_00000054.JPEG,ILSVRC2012_val_00000054.xml,n03485794,750
ILSVRC2012_val_00000058.JPEG,ILSVRC2012_val_00000058.xml,n13040303,893
ILSVRC2012_val_00000059.JPEG,ILSVRC2012_val_00000059.xml,n04485082,597
ILSVRC2012_val_00000060.JPEG,ILSVRC2012_val_00000060.xml,n03482405,840
ILSVRC2012_val_00000061.JPEG,ILSVRC2012_val_00000061.xml,n02963159,836
ILSVRC2012_val_00000065.JPEG,ILSVRC2012_val_00000065.xml,n04371430,945
ILSVRC2012_val_00000068.JPEG,ILSVRC2012_val_00000068.xml,n04532106,790
ILSVRC2012_val_00000070.JPEG,ILSVRC2012_val_00000070.xml,n04370456,837
ILSVRC2012_val_00000074.JPEG,ILSVRC2012_val_00000074.xml,n02966193,568
ILSVRC2012_val_00000080.JPEG,ILSVRC2012_val_00000080.xml,n02895154,949
ILSVRC2012_val_00000085.JPEG,ILSVRC2012_val_00000085.xml,n02974003,563
ILSVRC2012_val_00000089.JPEG,ILSVRC2012_val_00000089.xml,n02992529,914
ILSVRC2012_val_00000103.JPEG,ILSVRC2012_val_00000103.xml,n04485082,597
ILSVRC2012_val_00000104.JPEG,ILSVRC2012_val_00000104.xml,n04505470,544
ILSVRC2012_val_00000106.JPEG,ILSVRC2012_val_00000106.xml,n04591157,935
ILSVRC2012_val_00000108.JPEG,ILSVRC2012_val_00000108.xml,n02992211,342
ILSVRC2012_val_00000109.JPEG,ILSVRC2012_val_00000109.xml,n03691459,508
ILSVRC2012_val_00000110.JPEG,ILSVRC2012_val_00000110.xml,n03594734,748
ILSVRC2012_val_00000114.JPEG,ILSVRC2012_val_00000114.xml,n03843555,513
ILSVRC2012_val_00000116.JPEG,ILSVRC2012_val_00000116.xml,n07831146,999
ILSVRC2012_val_00000117.JPEG,ILSVRC2012_val_00000117.xml,n03710637,782
ILSVRC2012_val_00000118.JPEG,ILSVRC2012_val_00000118.xml,n03733281,922
ILSVRC2012_val_00000119.JPEG,ILSVRC2012_val_00000119.xml,n03782006,869
ILSVRC2012_val_00000120.JPEG,ILSVRC2012_val_00000120.xml,n03733131,598
ILSVRC2012_val_00000121.JPEG,ILSVRC2012_val_00000121.xml,n03933933,596
ILSVRC2012_val_00000123.JPEG,ILSVRC2012_val_00000123.xml,n04409515,970
ILSVRC2012_val_00000126.JPEG,ILSVRC2012_val_00000126.xml,n02883205,817
ILSVRC2012_val_00000129.JPEG,ILSVRC2012_val_00000129.xml,n07697537,885
ILSVRC2012_val_00000132.JPEG,ILSVRC2012_val_00000132.xml,n03337140,305
ILSVRC2012_val_00000137.JPEG,ILSVRC2012_val_00000137.xml,n03187595,959
ILSVRC2012_val_00000139.JPEG,ILSVRC2012_val_00000139.xml,n07932039,823
ILSVRC2012_val_00000140.JPEG,ILSVRC2012_val_00000140.xml,n03372029,356
ILSVRC2012_val_00000143.JPEG,ILSVRC2012_val_00000143.xml,n04125021,753
ILSVRC2012_val_00000146.JPEG,ILSVRC2012_val_00000146.xml,n04487394,349
ILSVRC2012_val_00000148.JPEG,ILSVRC2012_val_00000148.xml,n03843555,513
ILSVRC2012_val_00000149.JPEG,ILSVRC2012_val_00000149.xml,n03485407,551
ILSVRC2012_val_00000151.JPEG,ILSVRC2012_val_00000151.xml,n03642806,228
ILSVRC2012_val_00000152.JPEG,ILSVRC2012_val_00000152.xml,n03710193,917
